Second, MeanLatency
1,0
2,475
3,69
4,39
5,41
6,41
7,56
8,47
9,41
10,41
11,40
12,56
13,47
14,40
15,41
16,40
17,65
18,36
19,46
20,42
21,40
22,50
23,37
24,42
25,40
26,51
27,40
28,37
29,174
30,226
31,877
32,229
33,140
34,131
35,130
36,128
37,180
38,129
39,151
40,154
41,131
42,137
43,208
44,128
45,153
46,168
47,184
48,122
49,153
50,94
51,108
52,118
53,173
54,144
55,114
56,107
57,136
58,166
59,125
60,146
61,144
62,115
63,146
64,156
65,108
66,131
67,151
68,162
69,126
70,141
71,117
72,96
73,109
74,169
75,148
76,154
77,130
78,160
79,163
80,192
81,165
82,153
83,237
84,300
85,220
86,199
87,255
88,125
89,164
90,176
91,268
92,160
93,122
94,122
95,342
96,405
97,403
98,334
99,335
100,248
101,220
102,165
103,245
104,199
105,277
106,236
107,232
108,191
109,127
110,104
111,135
112,224
113,238
114,114
115,110
116,119
117,94
118,85
119,110
120,88
121,67
122,64
123,97
124,121
125,77
126,92
127,56
128,70
129,43
130,45
131,37
132,31
133,31
134,32
