Second, MeanLatency
1,54
2,23
3,20
4,18
5,25
6,20
7,27
8,43
9,20
10,17
11,16
12,19
13,19
14,24
15,18
16,15
17,18
18,16
19,16
20,28
21,21
22,30
23,19
24,23
25,16
26,15
27,15
28,14
29,39
30,64
31,18
32,15
33,20
34,17
35,17
36,18
37,18
38,16
39,16
40,15
41,34
42,15
43,16
44,26
45,22
46,25
47,15
48,16
49,22
50,22
51,22
52,22
53,21
54,21
55,22
56,20
57,22
58,22
59,22
60,21
61,20
62,20
63,28
64,20
65,24
66,20
67,20
68,22
69,20
70,25
71,21
72,20
73,21
74,20
75,20
76,21
77,20
78,21
79,20
80,22
81,20
82,23
83,21
84,21
85,21
86,20
87,24
88,25
89,24
